Play Format,Country,Team Matches Played,Matches Won,Matches Lost,Matches Tied,Matches With No Result,Win/Loss Ratio,Avg Runs Per Wicket Batting,Avg Runs Per Six Balls Batting,Number Of Team Innings Batting,Highest Team Score Batting,Lowest Completed Score Batting
ODI,England,746,375,334,9,28,1.122,31.1,4.91,738,481,86
ODI,Australia,949,575,331,9,34,1.737,34.14,5.01,939,434,70
ODI,South Africa,625,385,216,6,18,1.782,35.76,5.11,622,439,69
ODI,West Indies,822,401,381,10,30,1.052,30.2,4.78,811,389,54
ODI,New Zealand,772,351,374,7,40,0.938,29.21,4.82,757,402,64
ODI,India,987,513,424,9,41,1.209,33.77,5.06,975,418,54
ODI,Pakistan,927,486,413,8,20,1.176,30.65,4.83,926,399,43
ODI,Sri Lanka,852,389,421,5,37,0.923,29.53,4.91,836,443,43
ODI,Zimbabwe,529,138,373,7,11,0.369,25.31,4.51,525,351,35
ODI,Bermuda,35,7,28,0,0,0.25,21.68,4.1,35,275,78
ODI,Netherlands,80,31,45,1,3,0.688,25.76,4.54,79,315,80
ODI,Bangladesh,376,128,241,0,7,0.531,25.71,4.59,373,333,58
ODI,Kenya,154,42,107,0,5,0.392,23.01,4.25,151,347,69
ODI,Namibia,14,5,9,0,0,0.555,21.66,4.53,14,324,45
ODI,Ireland,156,67,78,3,8,0.858,26.89,4.8,153,331,77
ODI,Scotland,115,42,66,1,6,0.636,25.38,4.62,113,371,68
ODI,Afghanistan,126,59,63,1,3,0.936,26.42,4.73,125,338,58
Test,England,1022,371,304,0,347,1.22,32.24,2.75,1838,903,45
Test,Australia,830,393,224,2,211,1.754,34.36,2.95,1513,758,36
Test,South Africa,439,165,150,0,124,1.1,31.94,2.8,801,682,30
Test,West Indies,545,174,195,1,175,0.892,31.85,2.99,989,790,47
Test,New Zealand,442,101,175,0,166,0.577,29.24,2.68,814,715,26
Test,India,542,157,167,1,217,0.94,33.95,2.93,959,759,42
Test,Pakistan,428,138,130,0,160,1.061,32.65,2.91,768,765,49
Test,Sri Lanka,289,92,109,0,88,0.844,32.35,3.09,528,952,71
Test,Zimbabwe,110,12,70,0,28,0.171,26.3,2.7,211,563,51
Test,Bangladesh,119,14,89,0,16,0.157,24.61,3.12,232,638,43
Test,Ireland,3,0,3,0,0,0,19.56,2.9,6,339,38
T20I,England,117,58,53,2,4,1.094,24.81,8.32,117,241,80
T20I,Australia,125,67,53,2,3,1.264,26.46,8.43,125,263,79
T20I,South Africa,121,70,49,1,1,1.428,27.06,8.17,121,241,89
T20I,West Indies,124,54,62,3,5,0.87,22.57,7.77,121,245,45
T20I,New Zealand,131,61,59,8,3,1.033,23.42,8.14,130,243,60
T20I,India,134,83,44,3,4,1.886,30.82,8.33,131,260,74
T20I,Pakistan,151,92,55,3,1,1.672,23.68,7.64,151,205,74
T20I,Sri Lanka,128,59,65,2,2,0.907,21.41,7.71,127,260,82
T20I,Zimbabwe,76,18,56,2,0,0.321,20.09,7.35,76,200,84
T20I,Bermuda,15,4,10,0,1,0.4,13.83,6,15,158,70
T20I,Netherlands,75,39,32,1,3,1.218,22.39,7.52,73,206,39
T20I,Bangladesh,96,32,62,0,2,0.516,20.45,7.58,96,215,70
T20I,Kenya,38,15,23,0,0,0.652,16.62,6.34,38,183,56
T20I,Namibia,16,12,4,0,0,3,24.85,8.17,16,240,96
T20I,Ireland,98,41,48,2,7,0.854,20.7,7.62,94,225,68
T20I,Scotland,65,29,32,1,3,0.906,22.84,7.75,62,252,81
T20I,Afghanistan,81,55,25,1,0,2.2,23.04,7.88,81,278,72
